feature,coefficient,coefficient_importance,shap_importance,coefficient_rank,shap_rank,rank_difference
lex_dal_min_pleasantness,-0.1915365225692251,0.1915365225692251,0.1499086678759351,32.0,29.0,3.0
lex_liwc_WPS,0.2361937923032446,0.2361937923032446,0.1458509737089484,24.0,30.0,6.0
lex_liwc_drives,-0.175233140664052,0.175233140664052,0.1453670938376408,35.0,31.0,4.0
lex_liwc_social,-0.1687247496589516,0.1687247496589516,0.1402819651689627,38.0,32.0,6.0
lex_liwc_ingest,-0.2759849084537102,0.2759849084537102,0.1343302901547687,18.0,33.0,15.0
lex_liwc_power,0.1607737835030165,0.1607737835030165,0.1339843785753368,41.0,34.0,7.0
lex_liwc_informal,-0.1681138713225232,0.1681138713225232,0.1339468987546368,39.0,35.0,4.0
lex_liwc_anger,0.1718518513814794,0.1718518513814794,0.1336069683905758,36.0,36.0,0.0
lex_dal_avg_imagery,0.1712118070311321,0.1712118070311321,0.1300698485905928,37.0,37.0,0.0
lex_liwc_space,-0.1500582353106626,0.1500582353106626,0.124473069314171,45.0,38.0,7.0
lex_liwc_i,0.1619287469858722,0.1619287469858722,0.1234881063022027,40.0,39.0,1.0
lex_liwc_WC,0.1517011450322071,0.1517011450322071,0.1146373232493373,44.0,40.0,4.0
lex_liwc_bio,0.1562067748687794,0.1562067748687794,0.1055193958961547,43.0,41.0,2.0
lex_liwc_Comma,-0.1366285191166599,0.1366285191166599,0.1027417711152142,47.0,42.0,5.0
lex_liwc_home,0.1421929226189809,0.1421929226189809,0.1023937637754982,46.0,43.0,3.0
lex_liwc_discrep,-0.1260955161774014,0.1260955161774014,0.0966315759610135,48.0,44.0,4.0
lex_liwc_negate,-0.1238691554520452,0.1238691554520452,0.0946532459319291,49.0,45.0,4.0
lex_liwc_sad,0.1231217729305128,0.1231217729305128,0.0900688845582899,50.0,46.0,4.0
lex_liwc_insight,-0.1103362571057184,0.1103362571057184,0.0870171651638052,58.0,47.0,11.0
lex_liwc_cogproc,0.1100453447788827,0.1100453447788827,0.0867726278012738,59.0,48.0,11.0
lex_liwc_tentat,0.1109992902895374,0.1109992902895374,0.0844620983024515,57.0,49.0,8.0
lex_liwc_QMark,0.3057776949080508,0.3057776949080508,0.0826339810650424,16.0,50.0,34.0
