feature,coefficient,absolute_coefficient
学的专业,-0.03777248116959144,0.03777248116959144
学的专,-0.03777248116959144,0.03777248116959144
程序员,-0.03777248116959144,0.03777248116959144
说，嗯,-0.03774163532105462,0.03774163532105462
说，嗯，,-0.03774163532105462,0.03774163532105462
亲戚,-0.03772722117949294,0.03772722117949294
附近,-0.03772485355501026,0.03772485355501026
的朋,0.037718708836303495,0.037718708836303495
的朋友,0.037718708836303495,0.037718708836303495
重要,0.03771182175707302,0.03771182175707302
半年,-0.03770714298878857,0.03770714298878857
孩的,0.03769131752695514,0.03769131752695514
养小,0.03769131752695514,0.03769131752695514
养小孩,0.03769131752695514,0.03769131752695514
小孩的,0.03769131752695514,0.03769131752695514
还是不,0.03769131752695514,0.03769131752695514
世界,0.03768771609684275,0.03768771609684275
就会很,-0.03767372825249674,0.03767372825249674
，那个,-0.03762673163968681,0.03762673163968681
就可以,-0.03762349260730586,0.03762349260730586
上一,0.03762137263814398,0.03762137263814398
希望有,0.03757928085593195,0.03757928085593195
望有,0.03757928085593195,0.03757928085593195
望有一,0.03757928085593195,0.03757928085593195
希望有一,0.03757928085593195,0.03757928085593195
能够,0.03753550638649027,0.03753550638649027
其他,-0.03753537250583135,0.03753537250583135
一走,-0.037532637462253375,0.037532637462253375
走一走,-0.037532637462253375,0.037532637462253375
走一,-0.037532637462253375,0.037532637462253375
以感,-0.03752073347227434,0.03752073347227434
个时候,-0.03751594882522166,0.03751594882522166
个时,-0.03751594882522166,0.03751594882522166
作的,-0.0374733658717149,0.0374733658717149
工作的,-0.0374733658717149,0.0374733658717149
是，,0.03743907959462268,0.03743907959462268
欢的东西,-0.037435236463602556,0.037435236463602556
欢的东,-0.037435236463602556,0.037435236463602556
喜欢的东,-0.037435236463602556,0.037435236463602556
喜欢的东西,-0.037435236463602556,0.037435236463602556
欢的东西。,-0.037435236463602556,0.037435236463602556
是失眠的,-0.037340176931263735,0.037340176931263735
是失眠的时,-0.037340176931263735,0.037340176931263735
是失眠,-0.037340176931263735,0.037340176931263735
感觉就是,0.03732793329664167,0.03732793329664167
觉就是,0.03732793329664167,0.03732793329664167
觉就,0.03732793329664167,0.03732793329664167
感觉就,0.03732793329664167,0.03732793329664167
我最好的朋,-0.03729666442690323,0.03729666442690323
常会,-0.03729666442690323,0.03729666442690323
大家,-0.037296361673615476,0.037296361673615476
在一,-0.0372942103426245,0.0372942103426245
高三,0.037265240523279994,0.037265240523279994
想太,-0.03724869315965684,0.03724869315965684
，压力,-0.03724869315965684,0.03724869315965684
，压,-0.03724869315965684,0.03724869315965684
是，就,0.037226731243091365,0.037226731243091365
是，就是,0.037226731243091365,0.037226731243091365
来越,0.03717155202477516,0.03717155202477516
越来越,0.03717155202477516,0.03717155202477516
越来,0.03717155202477516,0.03717155202477516
"情
",0.03715419413478157,0.03715419413478157
"事情
",0.03715419413478157,0.03715419413478157
"的事情
",0.03715419413478157,0.03715419413478157
一件一件的,-0.03714243889174021,0.03714243889174021
件的,-0.03714243889174021,0.03714243889174021
一件一,-0.03714243889174021,0.03714243889174021
一件一件,-0.03714243889174021,0.03714243889174021
件一件的,-0.03714243889174021,0.03714243889174021
件一件,-0.03714243889174021,0.03714243889174021
件一,-0.03714243889174021,0.03714243889174021
一件的,-0.03714243889174021,0.03714243889174021
聊到,0.03709910483584001,0.03709910483584001
，我不,0.03709910483584001,0.03709910483584001
。虽然他,0.03709910483584001,0.03709910483584001
不用想,-0.03709781662432494,0.03709781662432494
用想,-0.03709781662432494,0.03709781662432494
得到,-0.03708842923394663,0.03708842923394663
一把,-0.03700618849490496,0.03700618849490496
额，在,-0.036963403697951085,0.036963403697951085
讨厌的人,0.03696019900381814,0.03696019900381814
厌的人,0.03696019900381814,0.03696019900381814
表达自,-0.036947027092503616,0.036947027092503616
表达自己,-0.036947027092503616,0.036947027092503616
达自,-0.036947027092503616,0.036947027092503616
达自己,-0.036947027092503616,0.036947027092503616
可能会,0.03693609779311312,0.03693609779311312
能会,0.03693609779311312,0.03693609779311312
都很,-0.03693341580538106,0.03693341580538106
这么,0.036919985074411736,0.036919985074411736
我们,0.036896905236578396,0.036896905236578396
吸引,0.036849253895189366,0.036849253895189366
到的,-0.03682346002703683,0.03682346002703683
，每当我,-0.03681976972018749,0.03681976972018749
造一,-0.036711730229911546,0.036711730229911546
以我当,-0.03666835247652843,0.03666835247652843
所以我当,-0.03666835247652843,0.03666835247652843
，所以我当,-0.03666835247652843,0.03666835247652843
以我当时,-0.03666835247652843,0.03666835247652843
所以我当时,-0.03666835247652843,0.03666835247652843
薪资,-0.03665975836316508,0.03665975836316508
，还是,-0.03664442003905543,0.03664442003905543
的，并,-0.03663986677447255,0.03663986677447255
一样,0.03660836663858878,0.03660836663858878
然的,0.03660836663858878,0.03660836663858878
不一,0.03660836663858878,0.03660836663858878
不一样,0.03660836663858878,0.03660836663858878
值观,0.03660836663858878,0.03660836663858878
价值观,0.03660836663858878,0.03660836663858878
些有,-0.03658908038465237,0.03658908038465237
一些有,-0.03658908038465237,0.03658908038465237
之间,0.036582376443372616,0.036582376443372616
程度,0.036574282825697337,0.036574282825697337
的程度,0.036574282825697337,0.036574282825697337
是可以,0.0365626538831022,0.0365626538831022
人争吵,-0.03654829703382502,0.03654829703382502
嗯，,-0.03653368254406048,0.03653368254406048
是我的父母,-0.036528512894217935,0.036528512894217935
是我的父,-0.036528512894217935,0.036528512894217935
已经,0.03651828408734357,0.03651828408734357
